	sim_id	lbgi_icgm	lbgi_ideal	lbgi_diff	dkai_icgm	dkai_ideal	dkai_diff	bg_condition	true_start_bg	start_bg_with_offset	sbr	isf	cir	ylw	age	max_bolus_delivered	traditional_bolus_delivered	bolus_diff
82	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=145	0.81	0.71	0.10000000000000009	0.083	0.0	0.083	1	105	145				0	6	0.1142892481667992	0	0.1142892481667992
83	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=150	1.15	0.71	0.43999999999999995	0.833	0.0	0.833	1	105	150				0	6	0.1333103631062815	0	0.1333103631062815
84	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=155	1.01	0.71	0.30000000000000004	0.5	0.0	0.5	1	105	155				0	6	0.1460164325470447	0	0.1460164325470447
85	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=160	1.27	0.71	0.56	0.667	0.0	0.667	1	105	160				0	6	0.1567629649262302	0	0.1567629649262302
86	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=165	1.39	0.71	0.6799999999999999	1.083	0.0	1.083	1	105	165				0	6	0.1714374061312836	0	0.1714374061312836
87	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=170	1.57	0.71	0.8600000000000001	1.417	0.0	1.417	1	105	170				0	6	0.1756497923844862	0	0.1756497923844862
88	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=175	1.45	0.71	0.74	1.417	0.0	1.417	1	105	175				0	6	0.1883558618252496	0	0.1883558618252496
89	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=180	1.75	0.71	1.04	1.25	0.0	1.25	1	105	180				0	6	0.2003710575139146	0	0.2003710575139146
90	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=185	1.84	0.71	1.1300000000000001	1.25	0.0	1.25	1	105	185				0	6	0.2159201342874812	0	0.2159201342874812
91	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=190	1.77	0.71	1.06	1.25	0.0	1.25	1	105	190				0	6	0.2191006272638925	0	0.2191006272638925
92	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=195	1.95	0.71	1.24	1.25	0.0	1.25	1	105	195				0	6	0.2319992932237828	0	0.2319992932237828
93	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=200	1.87	0.71	1.1600000000000001	1.333	0.0	1.333	1	105	200				0	6	0.2404806078275467	0	0.2404806078275467
94	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=205	1.85	0.71	1.1400000000000001	1.333	0.0	1.333	1	105	205				0	6	0.2577966251435641	0	0.2577966251435641
95	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=210	1.91	0.71	1.2	1.083	0.0	1.083	1	105	210				0	6	0.2583267073062991	0	0.2583267073062991
96	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=215	2.0	0.71	1.29	1.333	0.0	1.333	1	105	215				0	6	0.2738757840798657	0	0.2738757840798657
97	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=220	1.99	0.71	1.28	1.25	0.0	1.25	1	105	220				0	6	0.2823570986836293	0	0.2823570986836293
98	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=225	6.68	0.71	5.97	1.5	0.0	1.5	1	105	225				0	6	0.293488824101069	0	0.293488824101069
99	icgm_analysis_coastal_vp_1_80a5c60283c2b095d69cca4f64c26e2564958a07e2f0e19fafd073ed47d2b5e7_tbg=105_sbg=230	7.68	0.71	6.97	1.5	0.0	1.5	1	105	230				0	6	0.3010866684336072	0	0.3010866684336072
